,mass,count,isolated
0,425.363634854801,320,False
1,381.337405095128,320,False
2,475.306500228774,320,False
3,457.332322732395,319,False
4,367.358148321678,318,False
5,475.342892084706,318,False
6,471.311596577197,318,False
7,383.353056442623,318,False
8,461.327241009524,318,False
9,369.337403990588,318,False
10,459.311587210526,317,False
11,445.332315962175,317,False
12,474.285978753554,317,True
13,473.327258026253,317,False
14,489.322161983132,317,False
15,399.347959225653,316,False
16,465.322165649635,316,False
17,417.322163932692,315,False
18,493.33569888729,315,False
19,461.29086299022,315,False
20,395.353041976303,314,False
21,489.2857881625,314,False
22,491.337786921951,314,False
23,471.347985540284,314,False
24,447.275203501199,314,False
25,461.363622894231,314,False
26,491.320041748691,313,False
27,501.322154133971,313,False
28,487.306523024096,313,False
29,487.342898007125,313,False
30,455.353066346793,313,False
31,503.337812990453,312,False
32,503.301425219212,312,False
33,369.301021693046,312,False
34,457.295940427884,312,False
35,397.332312578571,311,False
36,507.332715709359,311,False
37,383.316673362769,311,False
38,489.358513084337,310,False
39,471.275207088161,310,False
40,339.326848157143,310,False
41,485.290867331671,310,False
42,471.369097315663,310,False
43,463.3065067625,309,False
44,447.332722368146,309,True
45,477.361916142512,309,False
46,411.384342746929,309,False
47,479.410584953771,309,False
48,495.441870314149,309,False
49,485.327252707729,309,False
50,491.301439276382,309,False
51,461.254475827676,309,False
52,521.311972363862,309,False
53,313.238430641827,309,False
54,455.316678110294,308,False
55,479.337798017632,308,False
56,453.39492803125,308,False
57,395.389430304556,308,False
58,469.332339828502,308,False
59,517.317064647059,308,False
60,475.270123423077,308,False
61,509.457521673913,307,False
62,481.426222257832,307,False
63,353.342500971223,306,False
64,411.347959017157,306,False
65,367.321750491525,306,False
66,339.199945877404,306,False
67,531.369082468446,306,False
68,467.410585848039,305,False
69,397.368686581281,305,False
70,413.327228315271,305,False
71,367.264226590362,305,True
72,463.342895333333,305,False
73,463.270129063614,305,False
74,487.270126299742,304,False
75,341.269739766423,304,False
76,499.306505292804,304,False
77,327.217676555555,303,False
78,481.353486966666,303,False
79,371.316652284672,303,False
80,519.29632842228,302,False
81,503.26503913941,302,False
82,515.30143061519,302,False
83,479.265043168394,301,False
84,311.2955330978,301,False
85,501.358517267003,300,False
86,517.280686013227,299,False
87,575.4350567425,299,False
88,495.405531400504,299,False
89,521.275597473262,298,False
90,465.394927209719,298,False
91,511.436796285,298,False
92,439.4156516925,297,False
93,517.353451586734,297,False
94,521.34836,297,False
95,600.466694886842,297,False
96,459.275180759894,297,False
97,616.461579793814,297,False
98,455.337826580402,297,False
99,605.405862479381,297,False
100,383.349493422785,296,True
101,511.400414941919,296,False
102,493.317109715404,296,False
103,447.347944922078,296,False
104,630.477215739583,296,False
105,469.35345934264,296,False
106,577.374574681347,296,False
107,515.33780153886,296,False
108,497.421146469697,295,False
109,559.400367644737,295,False
110,411.31157273924,295,False
111,575.471447732323,294,True
112,451.3792675,294,False
113,531.296323564171,294,False
114,463.233744483517,294,False
115,491.265048641304,294,False
116,602.482337640306,294,False
117,619.480621710256,293,True
118,283.264238150617,293,False
119,507.296345898437,293,False
120,439.379264255102,293,False
121,533.311967832891,293,False
122,467.374189369231,292,False
123,590.445920753462,292,False
124,467.337836498708,292,False
125,614.445932360795,292,False
126,481.389843592308,291,False
127,519.2599458,291,False
128,353.306097450882,291,False
129,433.332301997327,291,False
130,311.222775774936,290,False
131,507.369101178478,290,False
132,511.363999381201,290,False
133,515.265042593838,290,False
134,403.30649,290,False
135,507.441883277487,290,False
136,409.332305419023,290,False
137,499.270119958333,289,False
138,409.368687671916,289,False
139,445.259559116667,289,False
140,469.295943860892,289,False
141,425.327239588689,289,False
142,437.363620480418,288,False
143,485.348381979328,288,False
144,509.421143033505,288,False
145,473.277185552084,288,True
146,483.369125117187,287,False
147,635.416437398936,287,False
148,545.384705763085,287,False
149,341.108930665761,287,True
150,501.285814247253,287,False
151,561.455782824289,287,True
152,281.248610882051,286,False
153,475.233738008798,286,False
154,523.327620201591,286,False
155,587.431599143631,286,False
156,453.358536898964,286,False
157,497.384771419689,285,False
158,437.40000996401,285,False
159,507.259947127072,285,False
160,547.364008708894,285,False
161,509.275630266846,284,False
162,533.275598165217,284,False
163,477.322111822222,284,False
164,525.379653317935,284,False
165,499.364013073491,283,False
166,485.254477400577,283,False
167,493.280710747945,283,False
168,495.369158354223,283,False
169,575.395255814085,283,False
170,439.342868965608,283,False
171,519.369039018919,283,False
172,479.301448670213,283,False
173,423.347955287206,282,False
174,535.327630953425,282,False
175,447.238814554913,282,False
176,459.23882839403,281,False
177,491.374166368132,281,False
178,475.379274880953,281,False
179,435.275198586486,281,False
180,431.337801569801,281,False
181,477.249419,281,False
182,453.322179877333,281,False
183,465.249402385475,280,False
184,619.421503325967,280,False
185,455.280293545946,280,False
186,529.280693645349,280,False
187,441.322154565684,280,False
188,535.2912668,280,False
189,427.342875292553,280,False
190,477.358422715447,279,False
191,445.295909313514,279,False
192,509.384765851239,279,False
193,455.374206976127,279,False
194,533.348365144847,279,False
195,501.249395727545,279,False
196,489.249393144145,279,False
197,483.332730577127,278,False
198,531.332725276535,278,False
199,585.416035352941,278,False
200,467.446963538058,278,False
201,441.203089453608,278,True
202,433.223164711657,278,False
203,325.184260527852,278,False
204,525.452422402116,277,False
205,655.457892491478,277,True
206,429.301016433511,277,False
207,517.24430479257,277,False
208,483.311583306667,277,False
209,385.29591107027,277,False
210,443.316648276712,277,False
211,591.462955848404,277,False
212,523.436785903226,276,False
213,505.353395087912,276,False
214,722.488216842566,276,False
215,341.196955876344,276,False
216,445.186770254143,276,True
217,423.202421785294,276,False
218,311.937109686567,275,True
219,481.280705232,275,False
220,575.358919167148,275,False
221,355.285348466844,275,False
222,633.400774423729,275,False
223,529.353427445683,275,False
224,431.316626325203,275,False
225,427.306498948087,274,False
226,469.389864291105,274,False
227,591.390217196023,274,False
228,405.191853039088,274,False
229,505.317103352435,274,False
230,367.176219120944,274,False
