,Group,Transformation,Formula,mass_delta,extra,chain_len,chain_len_sd,chain_prob,chain_prob_sd,_orig_id
32,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,238.2296658,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 16, 'H': 32, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 16, 'H': 30, 'O': 1}), direction=1, mass_err=-2.2369999896909576e-07), TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 16, 'H': 31, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'C': 16, 'H': 30, 'O': 1}), direction=1, mass_err=-2.2369999896909576e-07)]",2.065351145423443,0.05401477621544372,0.11863265748993712,0.06076514222502208,80
33,Abiotic,Biotinyl_(-H),C10H15N2O3S,243.0803393,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 2, 'O': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 15, 'N': 2, 'O': 3, 'S': 1}), direction=1, mass_err=-7.815999936156004e-07)]",2.009714285714286,0.059054769417161125,0.0004122324297101168,0.0005423868203865591,82
34,Amino Acid,Adenosine_(-H2O),C10H11N5O3,249.0861894,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 13, 'N': 5, 'O': 4}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 11, 'N': 5, 'O': 3}), direction=1, mass_err=-1.6994999896269292e-07)]",2.0232011747430247,0.13664807470700452,0.0008056522234176737,0.0008882481917716938,83
35,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,271.10713,"[TransformInfo(src=defaultdict(<class 'int'>, {'Cl': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1, 'Cl': -1}), direction=1, mass_err=-1.2775499840245175e-06)]",2.0705128205128207,0.2404896243495059,0.00029723260583341943,0.0003986190271333336,86
36,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,287.07758,"[TransformInfo(src=defaultdict(<class 'int'>, {'F': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1, 'F': -1}), direction=1, mass_err=-1.7496499822300393e-06)]",2.0104010025062657,0.06298793876186722,0.0004729312386294758,0.0005675935821656819,87
37,Other,Phytochelatin,C10H16N3O6S-,306.075984,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1}), direction=1, mass_err=-2.587550000043848e-06)]",2.0788819875776396,0.2061580713140297,0.0016771142105977874,0.002595098201221026,93
38,Amino Acid,Adenosine-5_-phosphosulfate,C10H14N5O10PS,427.019905,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 10, 'H': 14, 'N': 5, 'O': 10, 'P': 1, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 14, 'N': 5, 'O': 10, 'P': 1, 'S': 1}), direction=1, mass_err=-5.167949950646289e-06)]",2.015625,0.125,0.00010601715112890189,0.00023772701774057406,103
39,Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,448.061027,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 16, 'H': 20, 'N': 2, 'O': 9, 'S': 2}), delta_f=defaultdict(<class 'int'>, {'C': 16, 'H': 20, 'N': 2, 'O': 9, 'S': 2}), direction=1, mass_err=-4.432800039921858e-06)]",2.0425531914893615,0.20402970888857874,7.646757384327104e-05,0.00021258251486631636,104
40,Sugar,Trisaccharide_(-H2O),C18H30O15,486.1584707,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 18, 'H': 32, 'O': 16}), delta_f=defaultdict(<class 'int'>, {'C': 18, 'H': 30, 'O': 15}), direction=1, mass_err=-4.535000357464014e-07)]",2.304130949695466,0.469320229870784,0.0006834535111080001,0.001341012298709878,105
41,Other,Co-enzyme_A_(-H2O),C21H33N7O15P3S,748.0968259,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 21, 'H': 35, 'N': 7, 'O': 16, 'P': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 21, 'H': 33, 'N': 7, 'O': 15, 'P': 3, 'S': 1}), direction=1, mass_err=-5.361450007512758e-06)]",2.0,0.0,7.810705308014361e-06,6.359806190344942e-05,106
42,Other,Co-enzyme_A_(-H),C21H34N7O16P3S,765.0995656,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 21, 'H': 35, 'N': 7, 'O': 16, 'P': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 21, 'H': 34, 'N': 7, 'O': 16, 'P': 3, 'S': 1}), direction=1, mass_err=-5.410249968917924e-06)]",2.0,0.0,7.598030867324575e-06,6.479646323420251e-05,107
