,Group,Transformation,Formula,mass_delta,extra,chain_len,chain_len_sd,chain_prob,chain_prob_sd
0,Abiotic,Oxidative_Deamination_to_Alcohol_(-H2N),HO,0.98402,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'N': 1}), targ=defaultdict(<class 'int'>, {'H': 1, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'H': -1, 'O': 1, 'N': -1}), direction=1, mass_err=-4.4168499994112764e-06)]",2.0348333541299057,0.049101010496662816,0.01422037081177322,0.009914869705117462
1,Abiotic,Carbon/dehydrogenation,C13,1.00335,"[TransformInfo(src=defaultdict(<class 'int'>, {'C': 1}), targ=defaultdict(<class 'int'>, {'C[13]': 1}), delta_f=defaultdict(<class 'int'>, {'C[13]': 1, 'C': -1}), direction=1, mass_err=4.835339999731403e-06)]",2.067496070584303,0.06151534172435275,0.01440356531369166,0.010758009546033948
2,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,1.03163,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1}), targ=defaultdict(<class 'int'>, {'H': 3, 'N': 1}), delta_f=defaultdict(<class 'int'>, {'H': 3, 'N': 1, 'O': -1}), direction=-1, mass_err=4.480650000138198e-06)]",2.0248687806679193,0.053001246117033766,0.011850514823654972,0.008519420108512643
3,Abiotic,Oxidative_Defluorination_(-F),HO,1.99566,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1, 'O': 1}), targ=defaultdict(<class 'int'>, {'F': 1}), delta_f=defaultdict(<class 'int'>, {'F': 1, 'H': -1, 'O': -1}), direction=-1, mass_err=3.510900001835182e-06)]",2.114701281851045,0.08865532515357356,0.010605584605177461,0.0068883796993448095
4,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650074,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'H': 2}), delta_f=defaultdict(<class 'int'>, {'H': 2}), direction=1, mass_err=-1.0199999955773364e-08)]",4.159169898889405,0.8489730652550357,0.16419979606675658,0.014049217462997483
5,Amino Acid,Transamination_(-O),NH4,2.039459,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1}), targ=defaultdict(<class 'int'>, {'N': 1, 'H': 4}), delta_f=defaultdict(<class 'int'>, {'N': 1, 'H': 4, 'O': -1}), direction=1, mass_err=5.125500015523698e-07)]",2.0196937700476894,0.03140324570501833,0.016601857064032194,0.01066891105012215
6,Abiotic,Tertiary_amine,N,14.00307401,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'N': 1}), delta_f=defaultdict(<class 'int'>, {'N': 1}), direction=1, mass_err=-5.750001363935553e-09)]",2.021418052136038,0.03338534438403634,0.019000303675040884,0.01051004731748578
7,Abiotic,Methylation_(-H),CH3,14.01565,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 1, 'H': 3}), delta_f=defaultdict(<class 'int'>, {'C': 1, 'H': 2}), direction=1, mass_err=6.379999994976515e-08)]",5.641581211094033,1.3112076716591206,0.12232332846412153,0.014403115672737797
8,Abiotic,Secondary_amine,NH,15.01089905,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'N': 1, 'H': 1}), delta_f=defaultdict(<class 'int'>, {'N': 1, 'H': 1}), direction=1, mass_err=-1.3850002034132558e-08)]",2.026730117115156,0.036402640723297526,0.012504156012930862,0.00953882509237753
9,Other,Thiourea_to_Urea_(-S),O,15.97716,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1}), targ=defaultdict(<class 'int'>, {'S': 1}), delta_f=defaultdict(<class 'int'>, {'S': 1, 'O': -1}), direction=-1, mass_err=-3.4457999973369624e-06)]",2.035826337176085,0.049786804809726345,0.01703183919093891,0.009537077205994627
10,Abiotic,Oxidation/Hydroxylation_(-H),O,15.99491,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'O': 1, 'H': 1}), delta_f=defaultdict(<class 'int'>, {'O': 1}), direction=1, mass_err=4.6192999985095184e-06)]",4.113423775845531,0.7204506191074611,0.16197672682194814,0.012004513499547204
11,Abiotic,Primary_amine,NH2,16.01872408,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'N': 1, 'H': 2}), delta_f=defaultdict(<class 'int'>, {'N': 1, 'H': 2}), direction=1, mass_err=-1.1950000100569014e-08)]",2.017662513316148,0.029508056566901517,0.017704023418905708,0.010817620301151644
12,Abiotic,Oxidative_Dechlorination_(-Cl),HO,17.96611,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1, 'O': 1}), targ=defaultdict(<class 'int'>, {'Cl': 1}), delta_f=defaultdict(<class 'int'>, {'Cl': 1, 'H': -1, 'O': -1}), direction=-1, mass_err=3.038799999188768e-06)]",2.013400011116557,0.028383864569181808,0.01681775130942963,0.011701503710008365
13,Abiotic,Reductive_Defluorination_(-F),H,17.99058,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'F': 1}), delta_f=defaultdict(<class 'int'>, {'F': 1, 'H': -1}), direction=-1, mass_err=-1.8698000019412575e-06)]",2.049694381852136,0.06973175779135893,0.009192135838314155,0.007544491870974209
14,Abiotic,Condensation/hydration/dehydration,H2O,18.01056471,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), direction=1, mass_err=-2.690000044935914e-08)]",3.190362551155316,0.41234531859138945,0.18655183095039746,0.025460159382315675
15,Abiotic,C2H2,C2H2,26.01565007,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 2, 'H': 2}), delta_f=defaultdict(<class 'int'>, {'C': 2, 'H': 2}), direction=1, mass_err=-6.2000005129903e-09)]",3.8777141277090648,0.7348701691554337,0.1593257238993154,0.012875018265353515
16,Abiotic,Formic_Acid_(-H2O),CO,27.99491464,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 1, 'O': 2, 'H': 2}), delta_f=defaultdict(<class 'int'>, {'C': 1, 'O': 1}), direction=1, mass_err=-2.070000348908252e-08)]",4.3373741589519605,0.9629496252150851,0.1403376542326133,0.01238795842506996
17,Abiotic,Ethyl_addition_(-H2O),C2H4,28.03130015,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 2, 'H': 6, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'C': 2, 'H': 4}), direction=1, mass_err=-2.240000185338431e-08)]",4.4151968502214824,0.9029828441496287,0.14888253196391205,0.014661163492295178
18,Abiotic,Nitro_Reduction_(-O2),H2,29.97418,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2}), targ=defaultdict(<class 'int'>, {'O': 2}), delta_f=defaultdict(<class 'int'>, {'O': 2, 'H': -2}), direction=-1, mass_err=-8.252000007757943e-07)]",3.051555449307272,0.39040052651407425,0.1878918978448356,0.03397818627454077
19,Abiotic,Inorganic_Phosphate,P,30.9737634,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'P': 1}), delta_f=defaultdict(<class 'int'>, {'P': 1}), direction=1, mass_err=-1.4023000005636277e-06)]",2.0422272267003643,0.07988219753350305,0.004473551301157423,0.0030601214828846024
20,Abiotic,Reductive_Dechlorination_(-Cl),H,33.96103,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'Cl': 1}), delta_f=defaultdict(<class 'int'>, {'Cl': 1, 'H': -1}), direction=-1, mass_err=-2.3419000001467793e-06)]",2.059251754294515,0.08372064328542766,0.018276290724193033,0.012377631346526112
21,Abiotic,Acetylation_(-H2O),C2H2O,42.01056471,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 2, 'H': 4, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 2, 'H': 2, 'O': 1}), direction=1, mass_err=-2.6899996896645462e-08)]",4.0933313849591615,0.8326778905244772,0.14686182652554133,0.013223374590673081
22,Abiotic,Carboxylation,CO2,43.98982928,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 1, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 1, 'O': 2}), direction=1, mass_err=-4.140000697816504e-08)]",3.118763888363062,0.42920017370004493,0.18146486349955107,0.03172023382360329
23,Other,Carbamoyl_P_transfer_(-H2PO4),CH2ON,44.01363872,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'P': 1, 'O': 4}), targ=defaultdict(<class 'int'>, {'C': 1, 'H': 4, 'O': 5, 'N': 1, 'P': 1}), delta_f=defaultdict(<class 'int'>, {'C': 1, 'H': 2, 'O': 1, 'N': 1}), direction=1, mass_err=-3.265000714236521e-08)]",2.0112194863276778,0.02058888299811513,0.01678896990612288,0.010089260354324746
24,Abiotic,CHO2,CHO2,44.99765432,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 1, 'H': 1, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 1, 'H': 1, 'O': 2}), direction=1, mass_err=-4.9500002319291525e-08)]",2.1875977573550607,0.1739816881161299,0.004225394081143724,0.003558729793330228
25,Sugar,Glyoxylate_(-H2O),C2O2,55.98982928,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 2, 'O': 3, 'H': 2}), delta_f=defaultdict(<class 'int'>, {'C': 2, 'O': 2}), direction=1, mass_err=-4.140000697816504e-08)]",3.0472605697051995,0.4306603656745978,0.17561016218386422,0.036542125836168664
26,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,57.02146,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1, 'H': 1}), targ=defaultdict(<class 'int'>, {'C': 2, 'H': 4, 'N': 1, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 2, 'H': 3, 'N': 1, 'O': 1}), direction=1, mass_err=3.7192499959814995e-06)]",2.020628237288279,0.04780087861872148,0.010541533424359106,0.00848380807101233
27,Abiotic,Acetone_(-H),C3H5O,57.03403983,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 3, 'H': 6, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'C': 3, 'H': 5, 'O': 1}), direction=1, mass_err=-5.119999713087964e-08)]",2.2917604004319805,0.23347971798357203,0.004604718314909579,0.004697979623741526
28,Abiotic,Acetylation_(-H),C2H3O2,59.01330439,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 2, 'H': 4, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 2, 'H': 3, 'O': 2}), direction=1, mass_err=-5.5699999279568146e-08)]",2.2152075920091066,0.1935233834551747,0.003946779314215632,0.0034161277414211395
29,Other,Urea_addition_(-H),CH3N2O,59.02453777,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 1, 'H': 4, 'N': 2, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'C': 1, 'H': 3, 'N': 2, 'O': 1}), direction=1, mass_err=-4.650000562378409e-08)]",2.0099215382539963,0.04565704884161561,0.0019473094512603554,0.0019802224768037027
30,Abiotic,Oxidative_Debromination_(-Br),HO,61.9156,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1, 'O': 1}), targ=defaultdict(<class 'int'>, {'Br': 1}), delta_f=defaultdict(<class 'int'>, {'Br': 1, 'H': -1, 'O': -1}), direction=-1, mass_err=-2.0511999991867924e-06)]",2.0150185971096133,0.05335868105967119,0.006103671277030308,0.0023572953881714057
31,Abiotic,Pyrophosphate,PP,61.9475268,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'P': 2}), delta_f=defaultdict(<class 'int'>, {'P': 2}), direction=1, mass_err=-2.8046000011272554e-06)]",2.009509550148471,0.031010899213312855,0.0033453160333178416,0.001563240482163693
32,Abiotic,Isoprene_addition_(-H),C5H7,67.05477526,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 5, 'H': 8}), delta_f=defaultdict(<class 'int'>, {'C': 5, 'H': 7}), direction=1, mass_err=-3.6700001260214776e-08)]",2.1494892085099546,0.16524656881918162,0.00673464720815644,0.006220108006183471
33,Amino Acid,Alanine_(-H2O),C3H5NO,71.03711384,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 3, 'H': 7, 'N': 1, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 3, 'H': 5, 'N': 1, 'O': 1}), direction=1, mass_err=-5.6950014482026745e-08)]",2.021023779898854,0.05158062444159182,0.01051782951106062,0.008576974615134873
34,Abiotic,Reductive_Debromination_(-Br),H,77.91051,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'Br': 1}), delta_f=defaultdict(<class 'int'>, {'Br': 1, 'H': -1}), direction=-1, mass_err=2.568100001099083e-06)]",2.012148037354766,0.03160429919821554,0.00560089767244382,0.002173089684604477
35,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.95681,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'H': 1, 'O': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'O': 3, 'S': 1}), direction=1, mass_err=5.031399993526975e-06), TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'S': 1, 'O': 4, 'H': 2}), delta_f=defaultdict(<class 'int'>, {'S': 1, 'O': 3}), direction=1, mass_err=5.031399993526975e-06)]",2.0118617388624864,0.0277422606106333,0.01451429266320337,0.006401418287788074
36,Abiotic,Phosphate,HPO3,79.96633236,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'H': 1, 'P': 1, 'O': 3}), delta_f=defaultdict(<class 'int'>, {'H': 1, 'P': 1, 'O': 3}), direction=1, mass_err=-1.472500002819288e-06)]",2.015153217201273,0.03050751367180362,0.013822506909970519,0.010945531269358535
37,Abiotic,Acetotacetate_(-H2O),C4H4O2,84.02112943,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 4, 'H': 6, 'O': 3}), delta_f=defaultdict(<class 'int'>, {'C': 4, 'H': 4, 'O': 2}), direction=1, mass_err=-6.380000172612199e-08)]",2.868063142065214,0.33364179039215636,0.180277677769278,0.043495652153819
38,Other,Malonyl_group_(-H2O),C3H2O3,86.00039399,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 3, 'H': 4, 'O': 4}), delta_f=defaultdict(<class 'int'>, {'C': 3, 'H': 2, 'O': 3}), direction=1, mass_err=-6.830001098023786e-08)]",2.489831515985415,0.217427790707879,0.19674103179778077,0.05813985368286038
39,Amino Acid,Serine_(-H2O),C3H5NO2,87.03202848,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 3, 'H': 7, 'N': 1, 'O': 3}), delta_f=defaultdict(<class 'int'>, {'C': 3, 'H': 5, 'N': 1, 'O': 2}), direction=1, mass_err=-7.765000020754087e-08)]",2.0148278046947077,0.03535265850049053,0.006654923305358484,0.005323853537447956
40,Amino Acid,Proline_(-H2O),C5H7NO,97.05276391,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 5, 'H': 9, 'N': 1, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 5, 'H': 7, 'N': 1, 'O': 1}), direction=1, mass_err=-6.315001144230337e-08)]",2.0124930849250124,0.05034664924550916,0.008968921413998198,0.008116885472773587
41,Amino Acid,Valine_(-H2O),C5H9NO,99.06841398,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 5, 'H': 11, 'N': 1, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 5, 'H': 9, 'N': 1, 'O': 1}), direction=1, mass_err=-6.935000840257999e-08)]",2.0173033978889645,0.045656578724765945,0.010650350865939387,0.009378874435139786
42,Amino Acid,Threonine_(-H2O),C4H7NO2,101.0476785,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 4, 'H': 9, 'N': 1, 'O': 3}), delta_f=defaultdict(<class 'int'>, {'C': 4, 'H': 7, 'N': 1, 'O': 2}), direction=1, mass_err=-3.38500001362263e-08)]",2.0153751494428436,0.03724930032157723,0.006463113278792479,0.005701303869560752
43,Sugar,Erythrose_(-H2O),C4H8O4,102.031695,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 4, 'H': 8, 'O': 4}), delta_f=defaultdict(<class 'int'>, {'C': 4, 'H': 6, 'O': 3}), direction=1, mass_err=-9.506999987252129e-07)]",2.3578745169570405,0.17176054294236964,0.20380087420857224,0.05960277035007393
44,Amino Acid,Cysteine_(-H2O),C3H5NOS,103.0091856,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 3, 'H': 7, 'N': 1, 'O': 2, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 3, 'H': 5, 'N': 1, 'O': 1, 'S': 1}), direction=1, mass_err=-6.434500079421923e-07)]",2.0089013039763945,0.06147249810645921,0.00560785417564144,0.004847995922227857
45,Other,Taurine_Conjugation_(-OH),C2H6NO3S,107.0041,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1, 'H': 1}), targ=defaultdict(<class 'int'>, {'C': 2, 'H': 6, 'N': 1, 'O': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 2, 'H': 5, 'N': 1, 'O': 2, 'S': 1}), direction=1, mass_err=-4.2415000223172683e-07)]",2.0105516871610485,0.03308700522384682,0.007298863725115966,0.00461658705715242
46,Amino Acid,Cytosine_(-H),C4H4N3O,110.0354368,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 4, 'H': 5, 'N': 3, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'C': 4, 'H': 4, 'N': 3, 'O': 1}), direction=1, mass_err=-4.0349988239540835e-08)]",2.0121948882976386,0.06536926175646095,0.0056201313923759265,0.004454027059092696
47,Amino Acid,Uracil_(-H),C4H3N2O2,111.0194524,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 4, 'H': 4, 'N': 2, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 4, 'H': 3, 'N': 2, 'O': 2}), direction=1, mass_err=-5.720001183817658e-08)]",2.0061535031492115,0.03892502783353251,0.0009652372655025767,0.0010908050093911778
48,Amino Acid,Isoleucine_(-H2O),C6H11NO,113.0840641,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 6, 'H': 13, 'N': 1, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 6, 'H': 11, 'N': 1, 'O': 1}), direction=1, mass_err=-1.255500023944478e-07)]",2.015894818655865,0.04105283089208128,0.011129297471648364,0.010165441561118378
49,Amino Acid,Leucine_(-H2O),C6H11NO,113.0840641,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 6, 'H': 13, 'N': 1, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 6, 'H': 11, 'N': 1, 'O': 1}), direction=1, mass_err=-1.255500023944478e-07)]",2.015894818655865,0.04105283089208128,0.011129297471648364,0.010165441561118378
50,Amino Acid,Asparagine_(-H2O),C4H6N2O2,114.0429275,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 4, 'H': 8, 'N': 2, 'O': 3}), delta_f=defaultdict(<class 'int'>, {'C': 4, 'H': 6, 'N': 2, 'O': 2}), direction=1, mass_err=-6.149998910132126e-08)]",2.0143409905655676,0.03910976485165295,0.003726640070621319,0.0020919623403093724
51,Other,Ornitine_Conjugation_(-OH),C5H11N2O2,114.07931,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1, 'H': 1}), targ=defaultdict(<class 'int'>, {'C': 5, 'H': 11, 'N': 2, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 5, 'H': 10, 'N': 2, 'O': 1}), direction=1, mass_err=2.9468000093402225e-06)]",2.013802325833052,0.05274504983784388,0.004158836536126163,0.002407143862255031
52,Amino Acid,Aspartic_Acid_(-H2O),C4H5NO3,115.0269431,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 4, 'H': 7, 'N': 1, 'O': 4}), delta_f=defaultdict(<class 'int'>, {'C': 4, 'H': 5, 'N': 1, 'O': 3}), direction=1, mass_err=-7.834999848910229e-08)]",2.018592773726367,0.08176488914503233,0.003211811837580203,0.0027879904856825616
53,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,119.0041,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 3, 'H': 6, 'N': 1, 'O': 2, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 3, 'H': 5, 'N': 1, 'O': 2, 'S': 1}), direction=1, mass_err=-4.2415000223172683e-07)]",2.003995342345934,0.022051798790389765,0.005409897000468695,0.0037699882311995653
54,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,121.01975,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 3, 'H': 7, 'N': 1, 'O': 2, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 3, 'H': 7, 'N': 1, 'O': 2, 'S': 1}), direction=1, mass_err=-3.6035001471645955e-07)]",2.005273156718126,0.02198115931454091,0.00875807200136367,0.004993765131147204
55,Amino Acid,Thymine_(-H),C5H5N2O2,125.0351025,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 5, 'H': 6, 'N': 2, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 5, 'H': 5, 'N': 2, 'O': 2}), direction=1, mass_err=-9.339998996438226e-08)]",2.0037122375832053,0.025436604199492455,0.0009183235479707809,0.001160729786285335
56,Amino Acid,Glutamine_(-H2O)/Glutamine_Conjugation_(-OH),C5H8N2O2_C5H9N2O3,128.0585776,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 5, 'H': 10, 'N': 2, 'O': 3}), delta_f=defaultdict(<class 'int'>, {'C': 5, 'H': 8, 'N': 2, 'O': 2}), direction=1, mass_err=-9.77000240709458e-08), TransformInfo(src=defaultdict(<class 'int'>, {'O': 1, 'H': 1}), targ=defaultdict(<class 'int'>, {'C': 5, 'H': 9, 'N': 2, 'O': 3}), delta_f=defaultdict(<class 'int'>, {'C': 5, 'H': 8, 'N': 2, 'O': 2}), direction=1, mass_err=-9.769999564923637e-08)]",2.012350190652196,0.04330200341108194,0.0033839103555659,0.0019272883719156464
57,Amino Acid,Lysine_(-H2O),C6H12N2O,128.0949631,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 6, 'H': 14, 'N': 2, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 6, 'H': 12, 'N': 2, 'O': 1}), direction=1, mass_err=-8.940000384427549e-08)]",2.0084718190512403,0.03189650905529601,0.003931881938986122,0.002412675963008981
