,Group,Transformation,Formula,mass_delta,extra,chain_len,chain_len_sd,chain_prob,chain_prob_sd
70,Sugar,Glucuronic_Acid_(-H2O)/Glucuronide_Conjugation_(-H),C6H8O6,176.0320881,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 6, 'H': 10, 'O': 7}), delta_f=defaultdict(<class 'int'>, {'C': 6, 'H': 8, 'O': 6}), direction=1, mass_err=-1.2900002843707625e-07), TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 6, 'H': 9, 'O': 6}), delta_f=defaultdict(<class 'int'>, {'C': 6, 'H': 8, 'O': 6}), direction=1, mass_err=-1.2900002843707625e-07)]",2.0346822908517432,0.04326804483030826,0.09363202549378077,0.04794177064382627
71,Other,Alliin,C6H11NO3S,177.045966,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 6, 'H': 11, 'N': 1, 'O': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 6, 'H': 11, 'N': 1, 'O': 3, 'S': 1}), direction=1, mass_err=-1.6134499958297965e-06)]",2.0026106366375105,0.01615940455804348,0.006049592213900233,0.003975879002934373
72,Sugar,C6H10O6,C6H10O6,178.0477382,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 6, 'H': 10, 'O': 6}), delta_f=defaultdict(<class 'int'>, {'C': 6, 'H': 10, 'O': 6}), direction=1, mass_err=-1.6519999235242722e-07)]",2.0367979210681626,0.038843901310903296,0.07644610383301774,0.040149671255288746
73,Amino Acid,Tryptophan_(-H2O),C11H10N2O,186.079313,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 11, 'H': 12, 'N': 2, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 11, 'H': 10, 'N': 2, 'O': 1}), direction=1, mass_err=-5.3200011507215095e-08)]",2.014307322956771,0.04952337227104618,0.003972077680326622,0.0020670507660710785
74,Amino Acid,Cystine_(-H2O),C6H10N2O3S2,222.0132859,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 6, 'H': 12, 'N': 2, 'O': 4, 'S': 2}), delta_f=defaultdict(<class 'int'>, {'C': 6, 'H': 10, 'N': 2, 'O': 3, 'S': 2}), direction=1, mass_err=-1.3676000207851757e-06)]",2.0317309368833794,0.11512731779293706,0.002766415423973922,0.0021496957274556683
75,Amino Acid,Thymidine_(-H2O),C10H12N2O4,224.079707,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 14, 'N': 2, 'O': 5}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 12, 'N': 2, 'O': 4}), direction=1, mass_err=-1.3150003042028402e-07)]",2.0179790346172597,0.11115811341547784,0.0015335317561566996,0.0011364019923200278
76,Amino Acid,Uridine_(-H2O),C9H10N2O5,226.0589716,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 9, 'H': 12, 'N': 2, 'O': 6}), delta_f=defaultdict(<class 'int'>, {'C': 9, 'H': 10, 'N': 2, 'O': 5}), direction=1, mass_err=-1.760000145623053e-07)]",2.012820512820513,0.09251083509992865,0.0013475219899177484,0.001050368015029113
77,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,226.0775996,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 2, 'O': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 14, 'N': 2, 'O': 2, 'S': 1}), direction=1, mass_err=-7.32800003788725e-07)]",2.0235455185640228,0.10229963570139303,0.0017038056027655034,0.00110964193664966
78,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,227.15764,"[TransformInfo(src=defaultdict(<class 'int'>, {'Br': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1, 'Br': -1}), direction=1, mass_err=3.812450017903757e-06)]",2.01383208989592,0.06859652735361418,0.0006123248227966939,0.0008746453698205952
79,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,229.0140109,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 8, 'H': 10, 'N': 1, 'O': 6, 'P': 1}), delta_f=defaultdict(<class 'int'>, {'C': 8, 'H': 8, 'N': 1, 'O': 5, 'P': 1}), direction=1, mass_err=-1.5463499778434198e-06)]",2.007751937984496,0.08804509063256238,0.00024095578744546875,0.00034760208875485527
